epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,320.316,0.72787,0.97679,0.99821,0.12818,0.000324786,0.000324786,0.000324786
2,642.349,0.09746,0.97679,1,0.07378,0.000625543,0.000625543,0.000625543
3,962.014,0.07786,0.97857,1,0.0731,0.000893299,0.000893299,0.000893299
4,1282.27,0.06542,0.97857,1,0.11248,0.0008515,0.0008515,0.0008515
5,1602.5,0.04863,0.98393,1,0.0436,0.000802,0.000802,0.000802
6,1920.82,0.04542,0.98571,1,0.06892,0.0007525,0.0007525,0.0007525
7,2242.86,0.03473,0.98929,1,0.04153,0.000703,0.000703,0.000703
8,2562.8,0.02626,0.97857,1,0.05337,0.0006535,0.0006535,0.0006535
9,2883.96,0.0214,0.98393,1,0.058,0.000604,0.000604,0.000604
10,3204.08,0.02448,0.98393,1,0.03808,0.0005545,0.0005545,0.0005545
11,3523.09,0.01811,0.97321,1,0.10952,0.000505,0.000505,0.000505
12,3845.58,0.01213,0.98393,1,0.05848,0.0004555,0.0004555,0.0004555
13,4164.01,0.01368,0.9875,1,0.0375,0.000406,0.000406,0.000406
14,4480.24,0.00801,0.99464,1,0.03792,0.0003565,0.0003565,0.0003565
15,4797.6,0.00957,0.98929,1,0.04957,0.000307,0.000307,0.000307
16,5115.13,0.00847,0.98929,1,0.0441,0.0002575,0.0002575,0.0002575
17,5432.05,0.01032,0.98929,1,0.03914,0.000208,0.000208,0.000208
18,5749.41,0.00755,0.99107,1,0.04887,0.0001585,0.0001585,0.0001585
19,6972.72,0.00643,0.98214,1,0.0841,0.000109,0.000109,0.000109
20,7291.39,0.00422,0.98036,1,0.06533,5.95e-05,5.95e-05,5.95e-05
